,title,author,name,timeRange,update_Interval,Raum,metadatacreated,license
133,"Privathaushalte nach Haushaltsform und Anzahl Kinder, seit 2013","Statistik Stadt Zürich, Präsidialdepartement",bev_hh_haushaltsform_kinder_od3809,2013–2020,['jaehrlich'],Stadt Zürich,"['2020-11-19', '07:36:09.007107']",cc-zero
134,Fotografien und Ansichten von Zürich um 1910,"Baugeschichtliches Archiv, Amt für Städtebau, Hochbaudepartement",baz_zuerich_um_1910,1900-1910,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2021-03-03', '15:01:12.547270']",cc-by
135,Nachnamen der aktuellen Wohnbevölkerung der Stadt Zürich,"Bevölkerungsamt, Präsidialdepartement",bev_bestand_nachnamen_stadtquartier_od3710,2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:26:05.863707']",cc-zero
136,"Zweite Vornamen neugeborener Mädchen und Knaben mit Wohnsitz in der Stadt Zürich, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_zweitevornamen_baby_od3702,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:26:03.213091']",cc-zero
137,Vornamen der aktuellen Wohnbevölkerung der Stadt Zürich,"Bevölkerungsamt, Präsidialdepartement",bev_bestand_vornamen_jahrgang_geschlecht_od3701,2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:26:09.074838']",cc-zero
138,"Vornamen neugeborener Mädchen und Knaben mit Wohnsitz in der Stadt Zürich, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_vornamen_baby_od3700,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:30:24.633209']",cc-zero
139,Fotografien und Ansichten zum Stadthausplatz,"Baugeschichtliches Archiv, Amt für Städtebau, Hochbaudepartement",baz_stadthausplatz,1800-1900,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2021-03-03', '15:01:16.598113']",cc-by
140,Häufigste Hauptsprachen,Bundesamt für Statistik,bfs_ste_bev_hauptsprachen_top50_od3011,2017/19,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:21.945577']",cc-zero
141,Hauptsprachen nach Stadtquartier,"Strukturerhebung, Bundesamt für Statistik",bfs_ste_bev_hauptsprachen_quartier_od3041,2017/19,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:40.865905']",cc-zero
142,"Wohnungsbestand nach Zimmerzahl, Miete/Eigentum, Bauperiode, Eigentumsgruppe und Stadtquartier, seit 2008","Statistik Stadt Zürich, Präsidialdepartement",bau_best_whg_zizahl_wfl_bauperi_ea_quartier_jahr_od5081,2008-2020,['jaehrlich'],Stadt Zürich,"['2021-04-14', '12:09:52.248439']",cc-zero
143,"Haushalte in Neubau-Wohnungen nach Bauperiode, Zimmerzahl, Eigentumsart, Haushalttyp und Quartier, ab 2006","Statistik Stadt Zürich, GWZ/BVS",bau_neubau_whg_hh_whnfl_bp_zizahl_eart_hhtyp_quart_od6991,2006–2020,['jaehrlich'],Stadt Zürich,"['2021-04-12', '18:46:34.294363']",cc-zero
144,"Sterberaten nach Alter, Geschlecht und Herkunft, von 1993 bis 2050.",Bundesamt für Statistik (BFS),bfs_bev_sterberaten_jahr_alter_geschlecht_herkunft_od5708,1993 – 2050,['jaehrlich'],Schweiz,"['2021-04-07', '15:52:01.710560']",cc-zero
