,Id,POITypeId,POIName_de,address_city,address_kantoncode,address_zip,address_countrycode,address_street,address_gemeindeid,geopoint,poityp_de
76266,003BE_00333108,003BE,"Briefeinwurf Zürich, Kappenbühlweg",Zürich,ZH,8049,CH,Kappenbühlweg 11,261,"47.40384852,8.4990031",Briefeinwurf
76274,003BE_00332427,003BE,"Briefeinwurf Zürich, Erligatterweg",Zürich,ZH,8038,CH,Erligatterweg 61,261,"47.33150761,8.53371952",Briefeinwurf
76308,003BE_00332451,003BE,"Briefeinwurf Zürich, Filiale Zürich 49 Höngg",Zürich,ZH,8049,CH,Gsteigstrasse 8,261,"47.40238002,8.49954887",Briefeinwurf
76357,003BE_00332096,003BE,"Briefeinwurf Zürich, BE Tramhaltestelle Sihlstrasse",Zürich,ZH,8001,CH,Talacker 50,261,"47.3724334,8.53493205",Briefeinwurf
76358,003BE_00332104,003BE,"Briefeinwurf Zürich, Freiestrasse",Zürich,ZH,8032,CH,Freiestrasse 217,261,"47.36070859,8.56665111",Briefeinwurf
76359,003BE_00332105,003BE,"Briefeinwurf Zürich, Idaplatz",Zürich,ZH,8003,CH,Idaplatz 4,261,"47.37420835,8.51423875",Briefeinwurf
76363,003BE_00332114,003BE,"Briefeinwurf Zürich, Altersheim",Zürich,ZH,8064,CH,Bändlistrasse 10,261,"47.39505583,8.49034365",Briefeinwurf
76388,003BE_00332115,003BE,"Briefeinwurf Zürich, Badenerstrasse",Zürich,ZH,8048,CH,Badenerstrasse 816,261,"47.39344659,8.47370631",Briefeinwurf
76389,003BE_00332117,003BE,"Briefeinwurf Zürich, Bushaltestelle Suteracher",Zürich,ZH,8048,CH,Am Suteracher 57,261,"47.39090165,8.46970969",Briefeinwurf
76390,003BE_00332125,003BE,"Briefeinwurf Zürich, Bushaltestelle SBB-Werkstätte",Zürich,ZH,8048,CH,Hohlstrasse 417,261,"47.38664215,8.50288858",Briefeinwurf
76391,003BE_00332128,003BE,"Briefeinwurf Zürich, Altstetterstrasse",Zürich,ZH,8048,CH,Altstetterstrasse 124,261,"47.38971585,8.4866382",Briefeinwurf
76392,003BE_00332136,003BE,"Briefeinwurf Zürich, Mattenhof",Zürich,ZH,8051,CH,Mattenhof 1A,261,"47.39951994,8.5921974",Briefeinwurf
76412,003BE_00331653,003BE,"Briefeinwurf Zürich, Tram-/Bushaltestelle Frankental",Zürich,ZH,8049,CH,Frankentalerstrasse 10,261,"47.40544115,8.48124492",Briefeinwurf
